,bathmin,bathmax,SSSmin,SSS8max,SST13min,SST13max,tempRange,nicheRange,Diet
Istiompax_indica,-7000,-485,3416,3651,1590,2937,1347,2062290675,1
Istiophorus_albicans,-6275,-1,3393,3741,2265,2954,689,1504329528,1
Istiophorus_platypterus,-7272,-1,3359,3639,2190,2937,747,1520802360,1
Kajikia_albida,-5750,-1267,3561,3681,1784,2769,985,529890600,3
Kajikia_audax,-7000,-1,3451,3638,1394,2866,1472,1926572736,3
Makaira_nigricans,-5750,-1107,3437,3694,2299,2794,495,590659245,1
Tetrapturus_angustirostris,-7000,-841,3425,3649,1536,2937,1401,1932842016,2
Tetrapturus_belone,-1950,-95,3677,3800,1870,2009,139,31714935,2
Tetrapturus_georgii,-6414,-3392,3458,3741,1914,2807,893,763716818,2
Tetrapturus_pfluegeri,-6693,-2112,3437,3741,2345,2954,609,848108016,2
Xiphias_gladius,-6738,-748,3337,3748,1179,2954,1775,4369854750,1
